JobTitle,CompanyName,Location,Date,Link,Type,Skills,Experience
Quantity Surveying Engineer,AlGammal Contracting,"Maadi, Cairo, Egypt",15 days ago,https://wuzzuf.net/jobs/p/VkRkNU2kNw2c-Quantity-Surveying-Engineer-AlGammal-Contracting-Cairo-Egypt?o=809&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Construction/Civil/Architecture  Engineering - Mechanical/Electrical  Civil  Civil Engineering  AutoCAD  Electrical  Engineering  Quantity Surveying  Skills  Technical Office, 2 - 5 Yrs of Exp 
CRM senior specialist,ATRIC Developments,"Heliopolis, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/cru4vrwEbjsr-CRM-senior-specialist-ATRIC-Developments-Cairo-Egypt?o=810&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Customer Service/Support  Real Estate  CRM  Customer Service, 3 - 5 Yrs of Exp 
Medical Affairs Lead -Alexandria,Caduceus Lane,"San Stefano, Alexandria, Egypt",1 month ago,https://wuzzuf.net/jobs/p/h6uU6YGUQ3P7-Medical-Affairs-Lead--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=811&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Medical/Healthcare  Biotechnology  Pharmaceutical  Computer Science  Information Technology (IT)  English  Medical Affairs  Medical  Software Development  Research, 10 - 12 Yrs of Exp 
Mid /Senior Full Stack .Net Developer,ICIS,"New Cairo, Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/shG6vtP8rVwY-Mid-Senior-Full-Stack-Net-Developer-ICIS-Cairo-Egypt?o=812&l=sp&t=sj&a=data |search-v3|navbg,Full Time, IT/Software Development  Engineering - Telecom/Technology  Engineering  Computer Science  Information Technology (IT)  Oracle  SQL  MVC  HTML5  CSS, 4+ Yrs of Exp 
Senior Financial Analyst,Cairo Three A  Poultry,"Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/YFNFOWOvTI4r-Senior-Financial-Analyst-Cairo-Three-A-Poultry-Cairo-Egypt?o=813&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Accounting  Financial Analysis  Analysis, 3 - 5 Yrs of Exp 
Foreign Purchasing Specialist,Misr Elhegaz Group,"Heliopolis, Cairo, Egypt",30 days ago,https://wuzzuf.net/jobs/p/OdhBn6FGtbAB-Foreign-Purchasing-Specialist-Misr-Elhegaz-Group-Cairo-Egypt?o=814&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Logistics/Supply Chain  Manufacturing/Production  Purchasing/Procurement  Foreign Purchasing  English  Logistics  Purchasing  Procurement  ERP  Supply Chain, 3 - 5 Yrs of Exp 
Linux System Administrator,3D Diagnostix,"Maadi, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/g2tuPW1U7RoQ-Linux-System-Administrator-3D-Diagnostix-Cairo-Egypt?o=815&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Linux  System Administration  Computer Science  Information Technology (IT)  Help desk  Network Administration  Network, 2 - 4 Yrs of Exp 
Internal Auditor,Confidential,"Maadi, Cairo, Egypt",1 month ago,https://wuzzuf.net/jobs/p/tzVA9lRy6Zff-Internal-Auditor-Cairo-Egypt?o=816&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  Audit  Auditing  Audit Firm  English  Financial Analysis, 2 - 3 Yrs of Exp 
Accountant,QOAD,"Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/Q7B6qdBL205a-Accountant-QOAD-Cairo-Egypt?o=817&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Accounting/Finance  accountant  AP  AR  Reporting  Finance  Financial Analysis  Financial Management  Financial Reporting  Accounting, 2 - 4 Yrs of Exp 
Test Lead,Agile Technologies,"Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/WB0Q3NIFseXY-Test-Lead-Agile-Technologies-Cairo-Egypt?o=818&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Quality  quality  QA  Quality Assurance  Agile  Testing  Automation, 8 - 10 Yrs of Exp 
Team Leader Scanners,Talabat,"Maadi, Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/3hvaMNx44ebm-Team-Leader-Scanners-Talabat-Cairo-Egypt?o=819&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Operations/Management  Assortment Merchandiser  Team Leadership, 1 - 4 Yrs of Exp 
HR Operations Specialist,Confidential,"Bourj Alarab, Alexandria, Egypt",16 days ago,https://wuzzuf.net/jobs/p/2vvJEjBKQktI-HR-Operations-Specialist-Alexandria-Egypt?o=820&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Human Resources  Operations  HR, 1 - 3 Yrs of Exp 
Planning Specialist,Rameda,"6th of October, Giza, Egypt",16 days ago,https://wuzzuf.net/jobs/p/USMWXgoREjsg-Planning-Specialist-Rameda-Giza-Egypt?o=821&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Logistics/Supply Chain  Medical/Healthcare  Pharmaceutical  Medical  Healthcare  Pharmaceutical  Science  ISO  Oracle  Pharmacy, 2 - 4 Yrs of Exp 
Export Sales Specialist ( Freight Forwarder ),Asma Commercial Group,"Sheraton, Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/U1RR8Nt6U0v8-Export-Sales-Specialist-Freight-Forwarder-Asma-Commercial-Group-Cairo-Egypt?o=822&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_preferred  Logistics/Supply Chain  Operations/Management  Sales/Retail  Export  Export Sales  Sales, 2 - 5 Yrs of Exp 
IB MYP Coordinator,Uptown International School UISEgypt,"Mokattam, Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/q7ieNmTSg6kO-IB-MYP-Coordinator-Uptown-International-School-UISEgypt-Cairo-Egypt?o=823&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Education/Teaching  IB  MYP  Education, 5 - 8 Yrs of Exp 
Junior Accountant (Cruises),TRAVCO GROUP,"Luxor, Luxor, Egypt",16 days ago,https://wuzzuf.net/jobs/p/ailYmholTUa3-Junior-Accountant-Cruises-TRAVCO-GROUP-Luxor-Egypt?o=824&l=sp&t=sj&a=data |search-v3|navbg,Full Time, males_only  Hospitality/Hotels/Food Services  Accounting  Accounts Receivable  Accounts Payable  Finance  Microsoft Office, 1 - 2 Yrs of Exp 
Group Human Resources Manager,DAOUD Group,"Downtown, Cairo, Egypt",16 days ago,https://wuzzuf.net/jobs/p/elD7nkZnK8CJ-Group-Human-Resources-Manager-DAOUD-Group-Cairo-Egypt?o=825&l=sp&t=sj&a=data |search-v3|navbg,Full Time, Engineering - Construction/Civil/Architecture  Human Resources  Manufacturing/Production  Human Resources  Human resources manager  Recruitment  Personnel  Human Resources (HR)  Talent management  Talent Development, 15 - 20 Yrs of Exp 
